rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
m/1001572-bad_seed,The Bad Seed,"Air Force Colonel Kenneth Penmark (William Hopper) and his wife, Christine (Nancy Kelly), dote on their pig-tailed daughter, Rhoda (Patty McCormack) -- as does their lonely landlady, Monica Breedlove (Evelyn Varden). But self-centered Rhoda has a secret tendency for selfishness and loves to accumulate gifts, whether given or stolen, in her room. Christine keeps her knowledge of her daughter's darker side to herself, but when a schoolmate of Rhoda's dies mysteriously, her self-deception unravels.",,NR,"Classics, Drama, Horror, Mystery & Suspense",Mervyn LeRoy,John Lee Mahin,"Patty McCormack, Nancy Kelly, Eileen Heckart, Henry Jones, William Hopper, Evelyn Varden, Paul Fix, Jesse White, Gage Clarke, Joan Croydon, Frank Cady",1956-09-12,2016-04-19,129,WARNER BROTHERS PICTURES,Fresh,63,27,Upright,83,8639,5,17,10
m/1001634-bang_the_drum_slowly,Bang The Drum Slowly,"When hotshot pitcher Henry Wiggen (Michael Moriarty) is signed to the New York Mammoths, his confident ways quickly win over his teammates. He's quite the opposite of Bruce Pearson (Robert De Niro), the team's simpleminded catcher, who has difficulty connecting with others. But when Henry discovers that Bruce has been hiding that he was recently diagnosed with a fatal form of cancer, the unlikely pair become close. Despite Henry's efforts to look out for Bruce, however, team tensions rise.",Bang the Drum Slowly is a touching melodrama that explores the inner workings of a baseball club and its players' personalities with remarkable depth.,PG,"Classics, Comedy, Drama, Sports & Fitness","John D. Hancock, John Hancock",Mark Harris,"Michael Moriarty, Robert De Niro, Vincent Gardenia, Phil Foster, Heather McRae, Heather MacRae, Ann Wedgeworth, Danny Aiello, Andrew Jarrell, Tom Ligon, Marshall Erwin Efron, Barbara Babcock, Tom Signorelli, Selma Diamond, Pat McVey, Maurice Rosenfield, Barton Heyman, Donny Burks, Hector Elias, Ernesto Gonzalez, Jim Donohue, Nicolas Surovy, Alan Manson, Patrick McVey, Hector Troy, Tony Major, Alan Manaon, Ernesto Gonzales, Jack Hollander, Lou Girolami, Arnold Kapnick, Jean David, Bea Blau, Herb Henry, Dorothy Nuebert, Pierrino Mascarino, Kaydette Grant, Dell Bethel, Forrest Wynn, Vince Camuto, Jeff Sartorius, Willie Lemmey, Doug Major",1973-01-01,2018-08-24,96,Paramount Pictures,Fresh,92,38,Upright,62,3796,10,35,3
m/1001816-battleground,Battleground,"Members of the U.S. Army's 101st Airborne Division are fighting for their country amidst the rugged terrain of Bastogne, Belgium, in December 1944. Holley (Van Johnson) and his American compatriots have already seen one of their own, Roderigues (Ricardo Montalban), perish under enemy fire. The men try to rebuff another series of Nazi attacks, but what they really need is a change in the weather. Without clear skies, they'll never get the air support they need.",,NR,"Action & Adventure, Classics, Drama",William Wellman,Robert Pirosh,"Van Johnson, Ricardo Montalban, John Hodiak, George Murphy, James Whitmore, Douglas Fowley, Jerome Courtland, Leon Ames, Richard Jaeckel, Don Taylor, James Arness, Bruce Cowling, Scotty Beckett, Marshall Thompson, Herbert Anderson, Thomas E. Breen, Denise Darcel, Brett King, Ian MacDonald, 101st Airborne, Screaming Eagles, Edmon Ryan, Michael Brown, Roland Varno",1949-11-09,2008-08-18,118,MGM,Fresh,75,8,Upright,82,2737,1,6,2
m/1001902-beauty_and_the_beast,Beauty and The Beast (La Belle et la bête),"The story of a gentle-hearted beast in love with a simple and beautiful girl. She is drawn to the repellent but strangely fascinating Beast, who tests her fidelity by giving her a key, telling her that if she doesn't return it to him by a specific time, he will die of grief. She is unable to return the key on time, but it is revealed that the Beast is the genuinely handsome one. A simple tale of tragic love that turns into a surreal vision of death, desire, and beauty.","With its magical optical effects and enchanting performances, Jean Cocteau's Beauty and the Beast remains the most surreal -- and soulful -- of the fairy tale's film adaptations.",NR,"Drama, Science Fiction & Fantasy, Romance",Jean Cocteau,Jean Cocteau,"Jean Marais, Josette Day, Marcel André, Mila Parely, Nane Germon, Michel Auclair, Raoul Marco, Georges Auric, Jean Cocteau",1946-01-01,2017-01-14,95,Lopert Pictures,Certified-Fresh,95,66,Upright,90,22615,16,63,3
m/1001994-belles_of_st_trinians,The Belles of St. Trinian's,A headmistress attempts to keep peace at Britain's most infamous girls school. Based on Ronald Searles' cartoons.,,NR,"Action & Adventure, Classics, Comedy",Frank Launder,"Val Valentine, Frank Launder, Sidney Gilliat","Alastair Sim, Joyce Grenfell, Hermione Baddeley, George Cole, Vivienne Martin, Eric Pohlmann, Lorna Henderson, Betty Ann Davies, Renee Houston, Beryl Reid, Balbina Meyer, Jane Henderson, Diana Day, Lloyd Lamble, Jill Braidwood, Annabelle Covey, Pauline Drewett, Guy Middleton, Richard Wattis, Irene Handl, Mary Merrall, Sidney James, Joan Sims, Arthur Howard, Barbara Windsor",,2020-04-07,91,Associated Artists,Fresh,67,6,Upright,70,1293,0,4,2
m/1001_grams,1001 Grams,"Marie, a Norwegian scientist, attends a seminar in Paris to discuss the actual weight of a kilo, and her own disappointments, grief and love end up on the scale.",,NR,Drama,Bent Hamer,Bent Hamer,"Ane Dahl Torp, Laurent Stocker, Stein Winge, Hildegun Riise, Per Christian Ellefsen, Peter Hudson, Didier Flamand, Dinara Drukarova, Torsten Knippertz, Daniel Drewes, Joseph Rezwin, Christian Erickson",2015-05-08,2016-10-06,93,Kino Lorber,Fresh,82,22,Spilled,48,267,7,18,4
m/1002178-best_of_times,The Best of Times,"Married banker Jack Dundee (Robin Williams) has lived his life regretting a botched play he made in a high school football game. His friend Reno Hightower (Kurt Russell), who threw the pass that Jack dropped, is deeply in debt from operating his car garage. With Reno, Jack hatches a plan to reunite all the players from the old game and replay it, hoping that this time he can make amends. When the game eventually happens, Jack again finds himself at the center of a key play.",,PG-13,"Comedy, Drama",Roger Spottiswoode,Ron Shelton,"Robin Williams, Kurt Russell, Pamela Reed, Holly Palance, Donald Moffat, Margaret Whitton, M. Emmet Walsh, Donovan Scott, R.G. Armstrong, Dub Taylor, Dog: Buck, Carl Ballantine, Kathleen Freeman, Tony Plana, Kirk Cameron, Robyn Lively, Raymond W. Clanto, Eloy Casados, Jeff Doucette, Anne Haney, Bill Overton, Hugh Gillin, Jake Dengel, Peter Van Norden, Kurt Fox, Patrick Brennan, Linda Hart, Marie Cain, Peggy Moyer, Jeff Severson, Hap Lawrence, Nick Shields, Wayne Montanio, 'Iron Jaws' Wilson, Brenda Huggins, Hilary Davis, Michael Rich, Norm Schachter, Adam Rose, Christopher Mankiewicz, J.P. Bumstead, Robert Dickman, Jim Giovanni, Steve Shargo, Darryl B. Smith, Raymond W. Clanton, Fred A. Nelson, Vister Hayes, Iron Jaw Wilson, Michelle Guastello, Cathy Cheryl Davis, Wayne Adderson, Susan Signorelli, Gérard Philipe, Christopher Cory, Kim Romano, Steve Riley, Kelly Thomas, Mike Douglas, Herman Edwards, Chuck Ramsey, William G. Schilling, Hugo L. Stanger",1986-01-31,2017-03-10,104,Sultan Entertainment,Rotten,31,13,Spilled,43,6519,2,4,9
m/1002205-betrayed,Betrayed,"Following the murder of a radio personality in Chicago, all evidence of the crime points to a white supremacist group from Iowa. With the FBI on the case, the department sends inexperienced agent Catherine Weaver (Debra Winger) on an undercover mission to root out the killers. Falling for her guise, local farmer and suspect Gary Simmons (Tom Berenger) fully embraces Weaver into the community. As Weaver spends more time with Simmons, her belief in his guilt diminishes and love takes its place.",,R,"Action & Adventure, Drama, Mystery & Suspense","Betsy Blair, Debra Winger, John Heard, John Mahoney, Ted Levine, Tom Berenger, Costa-Gavras",Joe Eszterhas,"Debra Winger, Tom Berenger, John Heard, Betsy Blair, John Mahoney, Ted Levine, Jeffrey DeMunn, Albert Hall, David Clennon, Robert Swan, Richard Libertini, Maria Valdez, Brian Bosak, Alan Wilder, Clifford A. Pellow, Ralph Foody, Stephen E. Miller, Tim Jerome, Howard Storey, Bill Dow, Terry David Mulligan, Fred Keating, Dan Conway, Will Zahrn, Bob Herron, Mimi Bensinger, Bill Corsair, Dolores Drake, Shawn Schepps, Wally Marsh, Ed Johnson, Jack Ackroyd, Robert Swann",1988-08-26,2016-11-30,127,MGM Home Entertainment,Rotten,42,12,Spilled,52,739,3,5,7
m/1002306-big_brawl,The Big Brawl (Battle Creek Brawl),"In the 1930s, an effete Chicago mobster (Jose Ferrer) pits a Chinese kicker (Jackie Chan) against a king-size brute called Kiss.",,R,"Action & Adventure, Comedy",Robert Clouse,Robert Clouse,"Jackie Chan, José Ferrer, Kristine de Bell, Mako, Ron Max, David Sheiner, Rosalind Chao, Lenny Montana, Pat E. Johnson, Mary Ellen O'Neill, H.B. Haggerty, Chao Li Chi, Joycelyne Lew",1980-09-10,2016-07-06,95,Golden Harvest Company,Fresh,67,6,Spilled,44,5475,0,4,2
m/1002310-big_business,Big Business,"Two sets of twins born in the small town of Jupiter Hollow are mixed up by a confused nurse. The parents -- one set poor local farmers, the other wealthy socialites just passing through -- are none the wiser and take the twins home. Now, some 40 years later, the wealthy pair (Bette Midler, Lily Tomlin) are involved in a business deal to buy and close down a factory in Jupiter Hollow. Hearing the news, the other set of twins travels to New York City to try and stop the sale.",,PG,Comedy,Jim Abrahams,"Marc Reid Rubel, Leslie Dixon, Dori Pierson","Bette Midler, Lily Tomlin, Fred Ward, Edward Herrmann, Michele Placido, Daniel Gerroll, Barry Primus, Deborah Rush, Nicolas Coster, Patricia Gaul, J.C. Quinn, Norma MacMillan, Joe Grifasi, John Vickery, Mary Gross, Seth Green, Leo Burmester, Lucy Webb, Roy Brocksmith, Eddie Junior, Ritch Brinkley, Tony Mockus Jr., Carmen Argenziano, Maureen McVerry, Freddie Parnes, Dan Chambers, Lois De Banzie, Fred Parnes, Al Mancini, Nicholas Rutherford, Hunter von Leer, Andy Epper, Andi Chapman, Chick Hearn, Troy Damien, Ryan Francis, Melanie Doctors, Louis Rukeyser, Kymberly Goldman, Michelle Goldman, Traci Goldman, Crystal Field, Everett Quinton, Sandy Davis, Natalie Dolishny, Nancy Lazarus, Shirley Mitchell, Charles J. Middleton, Irving Hellman, Judy Armstrong, Tom La Grua, Matthew James Carlson, Brianne Sommers, Alice Gruenberg, Jane Butenoff, Louise Yaffe, Bobby Bruce, Tommy Holden, Max Raven, Al Novis, Raymond Klein, Charles Middleton, Michael Gross, John Hancock, Lewis Arquette, Howard Feuer, Leo Burmeister",1988-06-10,2016-03-02,97,,Rotten,44,18,Upright,69,20086,2,8,10
